record_id,catalog_name,catalog_year,catalog_record_status,catalog_status_reason,product_lifecycle_status,current_replacement_status,price_status,category,product_name,manufacturer,newark_stock_no,manufacturer_part_no_or_type,author_or_creator,variant,pack_quantity,historical_price_usd,description,source_pdf_page,source_printed_page,extraction_confidence,notes
NWK112-0081,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > LED Lenses and Mounts,"CLIPLITE T1-3/4 round lens mount, low profile",VCC / Visual Communications Company,50F6523,SMB 200 GTP PKG,,Green,10,3.1,LED lens/mount package; catalog page states standard packages of 10.,187,167,High,
NWK112-0082,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > LED Lenses and Mounts,"CLIPLITE T1-3/4 round lens mount, low profile",VCC / Visual Communications Company,50F6525,SMB 200 YTP PKG,,Yellow,10,3.1,LED lens/mount package; catalog page states standard packages of 10.,187,167,High,
NWK112-0083,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > LED Lenses and Mounts,"CLIPLITE T1-3/4 round lens mount, low profile",VCC / Visual Communications Company,50F6526,SMB 200 CTP PKG,,Clear,10,3.1,LED lens/mount package; catalog page states standard packages of 10.,187,167,High,
NWK112-0084,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > LED Lenses and Mounts,"CLIPLITE T1-3/4 round lens mount, standard height",VCC / Visual Communications Company,50F6497,CLF 280 RTP PKG,,Red,10,3.4,LED lens/mount package; catalog page states standard packages of 10.,187,167,High,
NWK112-0085,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > LED Lenses and Mounts,"CLIPLITE T1-3/4 round lens mount, standard height",VCC / Visual Communications Company,50F6499,CLF 280 ATP PKG,,Amber,10,3.4,LED lens/mount package; catalog page states standard packages of 10.,187,167,High,
NWK112-0086,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > LED Lenses and Mounts,"CLIPLITE T1-3/4 round lens mount, standard height",VCC / Visual Communications Company,50F6498,CLF 280 GTP PKG,,Green,10,3.4,LED lens/mount package; catalog page states standard packages of 10.,187,167,High,
NWK112-0087,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > LED Lenses and Mounts,"CLIPLITE T1-3/4 round lens mount, standard height",VCC / Visual Communications Company,50F6500,CLF 280 YTP PKG,,Yellow,10,3.4,LED lens/mount package; catalog page states standard packages of 10.,187,167,High,
NWK112-0088,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > LED Lenses and Mounts,"CLIPLITE T1-3/4 round lens mount, standard height",VCC / Visual Communications Company,50F6501,CLF 280 CTP PKG,,Clear,10,3.4,LED lens/mount package; catalog page states standard packages of 10.,187,167,High,
NWK112-0089,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > LED Lenses and Mounts,"CLIPLITE T1-3/4 round lens mount, low profile",VCC / Visual Communications Company,50F6502,CLB 300 RTP PKG,,Red,10,3.4,LED lens/mount package; catalog page states standard packages of 10.,187,167,High,
NWK112-0090,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > LED Lenses and Mounts,"CLIPLITE T1-3/4 round lens mount, low profile",VCC / Visual Communications Company,50F6504,CLB 300 ATP PKG,,Amber,10,3.4,LED lens/mount package; catalog page states standard packages of 10.,187,167,High,
NWK112-0091,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > LED Lenses and Mounts,"CLIPLITE T1-3/4 round lens mount, low profile",VCC / Visual Communications Company,50F6503,CLB 300 GTP PKG,,Green,10,3.4,LED lens/mount package; catalog page states standard packages of 10.,187,167,High,
NWK112-0092,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > LED Lenses and Mounts,"CLIPLITE T1-3/4 round lens mount, low profile",VCC / Visual Communications Company,50F6505,CLB 300 YTP PKG,,Yellow,10,3.4,LED lens/mount package; catalog page states standard packages of 10.,187,167,High,
NWK112-0093,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > LED Lenses and Mounts,"CLIPLITE T1-3/4 round lens mount, low profile",VCC / Visual Communications Company,50F6506,CLB 300 CTP PKG,,Clear,10,3.4,LED lens/mount package; catalog page states standard packages of 10.,187,167,High,
NWK112-0094,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > LED Lenses and Mounts,"CUBELITE T1 square lens mount, low profile",VCC / Visual Communications Company,50F6527,SMQ 250 RTP PKG,,Red,10,3.1,LED lens/mount package; catalog page states standard packages of 10.,187,167,High,
NWK112-0095,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > LED Lenses and Mounts,"CUBELITE T1 square lens mount, low profile",VCC / Visual Communications Company,50F6529,SMQ 250 ATP PKG,,Amber,10,3.1,LED lens/mount package; catalog page states standard packages of 10.,187,167,High,
NWK112-0096,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > LED Lenses and Mounts,"CUBELITE T1 square lens mount, low profile",VCC / Visual Communications Company,50F6528,SMQ 250 GTP PKG,,Green,10,3.1,LED lens/mount package; catalog page states standard packages of 10.,187,167,High,
NWK112-0097,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > LED Lenses and Mounts,"CUBELITE T1 square lens mount, low profile",VCC / Visual Communications Company,50F6530,SMQ 250 YTP PKG,,Yellow,10,3.1,LED lens/mount package; catalog page states standard packages of 10.,187,167,High,
NWK112-0098,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > LED Lenses and Mounts,"CUBELITE T1 square lens mount, low profile",VCC / Visual Communications Company,50F6531,SMQ 250 CTP PKG,,Clear,10,3.1,LED lens/mount package; catalog page states standard packages of 10.,187,167,High,
NWK112-0099,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > LED Lenses and Mounts,"CUBELITE T1-3/4 square lens mount, low profile",VCC / Visual Communications Company,50F6507,SQB 400 RTP PKG,,Red,10,3.4,LED lens/mount package; catalog page states standard packages of 10.,187,167,High,
NWK112-0100,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > LED Lenses and Mounts,"CUBELITE T1-3/4 square lens mount, low profile",VCC / Visual Communications Company,50F6509,SQB 400 ATP PKG,,Amber,10,3.4,LED lens/mount package; catalog page states standard packages of 10.,187,167,High,
NWK112-0101,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > LED Lenses and Mounts,"CUBELITE T1-3/4 square lens mount, low profile",VCC / Visual Communications Company,50F6508,SQB 400 GTP PKG,,Green,10,3.4,LED lens/mount package; catalog page states standard packages of 10.,187,167,High,
NWK112-0102,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > LED Lenses and Mounts,"CUBELITE T1-3/4 square lens mount, low profile",VCC / Visual Communications Company,50F6510,SQB 400 YTP PKG,,Yellow,10,3.4,LED lens/mount package; catalog page states standard packages of 10.,187,167,High,
NWK112-0103,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > LED Lenses and Mounts,"CUBELITE T1-3/4 square lens mount, low profile",VCC / Visual Communications Company,50F6511,SQB 400 CTP PKG,,Clear,10,3.4,LED lens/mount package; catalog page states standard packages of 10.,187,167,High,
NWK112-0104,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > LED Lenses and Mounts,"CUBELITE T1-3/4 square lens mount, standard height",VCC / Visual Communications Company,50F6512,SQL 360 RTP PKG,,Red,10,3.6,LED lens/mount package; catalog page states standard packages of 10.,187,167,High,
NWK112-0105,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > LED Lenses and Mounts,"CUBELITE T1-3/4 square lens mount, standard height",VCC / Visual Communications Company,50F6514,SQL 360 ATP PKG,,Amber,10,3.6,LED lens/mount package; catalog page states standard packages of 10.,187,167,High,
NWK112-0106,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > LED Lenses and Mounts,"CUBELITE T1-3/4 square lens mount, standard height",VCC / Visual Communications Company,50F6513,SQL 360 GTP PKG,,Green,10,3.6,LED lens/mount package; catalog page states standard packages of 10.,187,167,High,
NWK112-0107,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > LED Lenses and Mounts,"CUBELITE T1-3/4 square lens mount, standard height",VCC / Visual Communications Company,50F6515,SQL 360 YTP PKG,,Yellow,10,3.6,LED lens/mount package; catalog page states standard packages of 10.,187,167,High,
NWK112-0108,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > LED Lenses and Mounts,"CUBELITE T1-3/4 square lens mount, standard height",VCC / Visual Communications Company,50F6516,SQL 360 CTP PKG,,Clear,10,3.6,LED lens/mount package; catalog page states standard packages of 10.,187,167,High,
NWK112-0109,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > LED Lenses and Mounts,SPC 125 spacer,VCC / Visual Communications Company,50F6590,SPC 125 PKG,,,10,1.0,Spacer for CLB and SQB series and thinner panels.,187,167,High,
NWK112-0110,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > PCB Mounts,P-C-LITE PCB mount,VCC / Visual Communications Company,50F6532,PCL 490 PKG,,,10,3.4,PCB mount for T1 or T1-3/4 LED lens assemblies.,187,167,High,
NWK112-0111,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > PCB Mounts,P-C-LITE PCB mount,VCC / Visual Communications Company,50F6580,PCR 740 PKG,,,10,3.6,PCB mount for T1 or T1-3/4 LED lens assemblies.,187,167,High,
NWK112-0112,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > PCB Sockets,P-C-LITE PCB socket,VCC / Visual Communications Company,50F6533,PCH330 PKG,,Horizontal,10,7.6,PCB socket for T1 or T1-3/4 LEDs.,187,167,High,
NWK112-0113,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > PCB Sockets,P-C-LITE PCB socket,VCC / Visual Communications Company,50F6534,PCH660 PKG,,Horizontal,10,11.4,PCB socket for T1 or T1-3/4 LEDs.,187,167,High,
NWK112-0114,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > PCB Sockets,P-C-LITE PCB socket,VCC / Visual Communications Company,50F6535,PCH990 PKG,,Horizontal,10,17.9,PCB socket for T1 or T1-3/4 LEDs.,187,167,High,
NWK112-0115,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > PCB Sockets,P-C-LITE PCB socket,VCC / Visual Communications Company,50F6539,SMD330 PKG,,Surface,10,7.6,PCB socket for T1 or T1-3/4 LEDs.,187,167,High,
NWK112-0116,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > PCB Sockets,P-C-LITE PCB socket,VCC / Visual Communications Company,50F6540,SMD660 PKG,,Surface,10,11.4,PCB socket for T1 or T1-3/4 LEDs.,187,167,High,
NWK112-0117,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > PCB Sockets,P-C-LITE PCB socket,VCC / Visual Communications Company,50F6541,SMD990 PKG,,Surface,10,17.9,PCB socket for T1 or T1-3/4 LEDs.,187,167,High,
NWK112-0118,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > PCB Sockets,P-C-LITE PCB socket,VCC / Visual Communications Company,50F6536,PCV220 PKG,,Vertical,10,7.6,PCB socket for T1 or T1-3/4 LEDs.,187,167,High,
NWK112-0119,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > PCB Sockets,P-C-LITE PCB socket,VCC / Visual Communications Company,50F6537,PCV440 PKG,,Vertical,10,11.4,PCB socket for T1 or T1-3/4 LEDs.,187,167,High,
NWK112-0120,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > PCB Sockets,P-C-LITE PCB socket,VCC / Visual Communications Company,50F6538,PCV880 PKG,,Vertical,10,17.9,PCB socket for T1 or T1-3/4 LEDs.,187,167,High,
NWK112-0121,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > PCB Sockets,P-C-LITE PCB socket,VCC / Visual Communications Company,50F6542,SMV200 PKG,,Vertical,10,7.6,PCB socket for T1 or T1-3/4 LEDs.,187,167,High,
NWK112-0122,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > PCB Component Standoffs,PCB component standoff,VCC / Visual Communications Company,50F6551,STD 120 PKG,,0.120 inch length,10,1.1,Cylindrical component standoff; center barrier protects leads.,187,167,High,
NWK112-0123,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > PCB Component Standoffs,PCB component standoff,VCC / Visual Communications Company,50F6552,STD 140 PKG,,0.140 inch length,10,1.1,Cylindrical component standoff; center barrier protects leads.,187,167,High,
NWK112-0124,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > PCB Component Standoffs,PCB component standoff,VCC / Visual Communications Company,50F6553,STD 160 PKG,,0.160 inch length,10,1.1,Cylindrical component standoff; center barrier protects leads.,187,167,High,
NWK112-0125,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > PCB Component Standoffs,PCB component standoff,VCC / Visual Communications Company,50F6554,STD 180 PKG,,0.180 inch length,10,1.1,Cylindrical component standoff; center barrier protects leads.,187,167,High,
NWK112-0126,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > PCB Component Standoffs,PCB component standoff,VCC / Visual Communications Company,50F6555,STD 200 PKG,,0.200 inch length,10,1.1,Cylindrical component standoff; center barrier protects leads.,187,167,High,
NWK112-0127,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > PCB Component Standoffs,PCB component standoff,VCC / Visual Communications Company,50F6556,STD 220 PKG,,0.220 inch length,10,1.1,Cylindrical component standoff; center barrier protects leads.,187,167,High,
NWK112-0128,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > PCB Component Standoffs,PCB component standoff,VCC / Visual Communications Company,50F6557,STD 240 PKG,,0.240 inch length,10,1.1,Cylindrical component standoff; center barrier protects leads.,187,167,High,
NWK112-0129,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > PCB Component Standoffs,PCB component standoff,VCC / Visual Communications Company,50F6558,STD 250 PKG,,0.250 inch length,10,1.1,Cylindrical component standoff; center barrier protects leads.,187,167,High,
NWK112-0130,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > PCB Component Standoffs,PCB component standoff,VCC / Visual Communications Company,50F6559,STD 260 PKG,,0.260 inch length,10,1.1,Cylindrical component standoff; center barrier protects leads.,187,167,High,
NWK112-0131,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > PCB Component Standoffs,PCB component standoff,VCC / Visual Communications Company,50F6560,STD 280 PKG,,0.280 inch length,10,1.1,Cylindrical component standoff; center barrier protects leads.,187,167,High,
NWK112-0132,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > PCB Component Standoffs,PCB component standoff,VCC / Visual Communications Company,50F6561,STD 300 PKG,,0.300 inch length,10,1.1,Cylindrical component standoff; center barrier protects leads.,187,167,High,
NWK112-0133,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > PCB Component Standoffs,PCB component standoff,VCC / Visual Communications Company,50F6562,STD 320 PKG,,0.320 inch length,10,1.1,Cylindrical component standoff; center barrier protects leads.,187,167,High,
NWK112-0134,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > PCB Component Standoffs,PCB component standoff,VCC / Visual Communications Company,50F6563,STD 340 PKG,,0.340 inch length,10,1.1,Cylindrical component standoff; center barrier protects leads.,187,167,High,
NWK112-0135,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > PCB Component Standoffs,PCB component standoff,VCC / Visual Communications Company,50F6564,STD 360 PKG,,0.360 inch length,10,1.1,Cylindrical component standoff; center barrier protects leads.,187,167,High,
NWK112-0136,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > PCB Component Standoffs,PCB component standoff,VCC / Visual Communications Company,50F6565,STD 380 PKG,,0.380 inch length,10,1.1,Cylindrical component standoff; center barrier protects leads.,187,167,High,
NWK112-0137,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > PCB Component Standoffs,PCB component standoff,VCC / Visual Communications Company,50F6566,STD 400 PKG,,0.400 inch length,10,1.1,Cylindrical component standoff; center barrier protects leads.,187,167,High,
NWK112-0138,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > PCB Component Standoffs,PCB component standoff,VCC / Visual Communications Company,50F6567,STD 420 PKG,,0.420 inch length,10,1.1,Cylindrical component standoff; center barrier protects leads.,187,167,High,
NWK112-0139,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > PCB Component Standoffs,PCB component standoff,VCC / Visual Communications Company,50F6568,STD 440 PKG,,0.440 inch length,10,1.1,Cylindrical component standoff; center barrier protects leads.,187,167,High,
NWK112-0140,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > PCB Component Standoffs,PCB component standoff,VCC / Visual Communications Company,50F6569,STD 460 PKG,,0.460 inch length,10,1.1,Cylindrical component standoff; center barrier protects leads.,187,167,High,
NWK112-0141,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > PCB Component Standoffs,PCB component standoff,VCC / Visual Communications Company,50F6570,STD 480 PKG,,0.480 inch length,10,1.1,Cylindrical component standoff; center barrier protects leads.,187,167,High,
NWK112-0142,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > PCB Component Standoffs,PCB component standoff,VCC / Visual Communications Company,50F6571,STD 500 PKG,,0.500 inch length,10,1.3,Cylindrical component standoff; center barrier protects leads.,187,167,High,
NWK112-0143,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > PCB Component Standoffs,PCB component standoff,VCC / Visual Communications Company,50F6572,STD 550 PKG,,0.550 inch length,10,1.3,Cylindrical component standoff; center barrier protects leads.,187,167,High,
NWK112-0144,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > PCB Component Standoffs,PCB component standoff,VCC / Visual Communications Company,50F6573,STD 600 PKG,,0.600 inch length,10,1.3,Cylindrical component standoff; center barrier protects leads.,187,167,High,
NWK112-0145,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > PCB Component Standoffs,PCB component standoff,VCC / Visual Communications Company,50F6574,STD 650 PKG,,0.650 inch length,10,1.3,Cylindrical component standoff; center barrier protects leads.,187,167,High,
NWK112-0146,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > PCB Component Standoffs,PCB component standoff,VCC / Visual Communications Company,50F6575,STD 700 PKG,,0.700 inch length,10,1.3,Cylindrical component standoff; center barrier protects leads.,187,167,High,
NWK112-0147,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > PCB Component Standoffs,PCB component standoff,VCC / Visual Communications Company,50F6576,STD 750 PKG,,0.750 inch length,10,1.3,Cylindrical component standoff; center barrier protects leads.,187,167,High,
NWK112-0148,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > PCB Component Standoffs,PCB component standoff,VCC / Visual Communications Company,50F6577,STD 800 PKG,,0.800 inch length,10,1.3,Cylindrical component standoff; center barrier protects leads.,187,167,High,
NWK112-0149,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > PCB Component Standoffs,PCB component standoff,VCC / Visual Communications Company,50F6578,STD 850 PKG,,0.850 inch length,10,1.3,Cylindrical component standoff; center barrier protects leads.,187,167,High,
NWK112-0150,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > PCB Component Standoffs,PCB component standoff,VCC / Visual Communications Company,50F6579,STD 900 PKG,,0.900 inch length,10,1.3,Cylindrical component standoff; center barrier protects leads.,187,167,High,
NWK112-0151,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > Subminiature Incandescent Indicators,Subminiature incandescent indicator,VCC / Visual Communications Company,50F6543,05 020 W06 PKG,,6-inch wire leads; volts/amps 5/20; MSCP 0.02,10,12.0,Subminiature incandescent indicator for use with CLIPLITE/CUBELITE assemblies.,187,167,High,
NWK112-0152,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > Subminiature Incandescent Indicators,Subminiature incandescent indicator,VCC / Visual Communications Company,50F6545,05 060 W06 PKG,,6-inch wire leads; volts/amps 6/60; MSCP 0.05,10,11.1,Subminiature incandescent indicator for use with CLIPLITE/CUBELITE assemblies.,187,167,High,
NWK112-0153,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > Subminiature Incandescent Indicators,Subminiature incandescent indicator,VCC / Visual Communications Company,50F6547,14 040 W06 PKG,,6-inch wire leads; volts/amps 14/40; MSCP 0.14,10,14.3,Subminiature incandescent indicator for use with CLIPLITE/CUBELITE assemblies.,187,167,High,
NWK112-0154,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > Subminiature Incandescent Indicators,Subminiature incandescent indicator,VCC / Visual Communications Company,50F6549,28 024 W06 PKG,,6-inch wire leads; volts/amps 28/24; MSCP 0.15,10,23.4,Subminiature incandescent indicator for use with CLIPLITE/CUBELITE assemblies.,187,167,High,
NWK112-0155,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > Subminiature Incandescent Indicators,Subminiature incandescent indicator,VCC / Visual Communications Company,50F6544,05 020 PIN PKG,,1-inch bi-pin leads; volts/amps 5/20; MSCP 0.02,10,12.0,Subminiature incandescent indicator for use with CLIPLITE/CUBELITE assemblies.,187,167,High,
NWK112-0156,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > Subminiature Incandescent Indicators,Subminiature incandescent indicator,VCC / Visual Communications Company,50F6546,05 060 PIN PKG,,1-inch bi-pin leads; volts/amps 6/60; MSCP 0.05,10,11.1,Subminiature incandescent indicator for use with CLIPLITE/CUBELITE assemblies.,187,167,High,
