NID,Titre,URL,Organization,Produit,Problème,"Ce que vous devriez faire",Catégorie,"Classe de rappel","Dernière mise à jour",Archivé
62721,"  Rappel de Fromage avec 'Porter' Irlandais de marque Cahill's en raison de la bactérie Listeria monocytogenes ",https://recalls-rappels.canada.ca/fr/avis-rappel/rappel-fromage-avec-porter-irlandais-marque-cahill-s-en-raison-bacterie-listeria,ACIA,,Listeria,,Aliments,"Classe 1",2021-07-23,0
62734,"  Povidone-Iodine Prep Pad(2021-07-23) ",https://recalls-rappels.canada.ca/fr/avis-rappel/povidone-iodine-prep-pad2021-07-23,"Médicaments et produits de santé",,"Sécurité des produits",,"Produits de santé naturels","Type III",2021-07-23,0
62743,"  Povidone Iodine Swabstick(2021-07-23) ",https://recalls-rappels.canada.ca/fr/avis-rappel/povidone-iodine-swabstick2021-07-23,"Médicaments et produits de santé",,"Sécurité des produits",,"Produits de santé naturels","Type III",2021-07-23,0
62945,"  Rappel de Bloc à gratiner végane original de marque Gusta en raison de la bactérie Listeria monocytogenes ",https://recalls-rappels.canada.ca/fr/avis-rappel/rappel-bloc-gratiner-vegane-original-marque-gusta-en-raison-bacterie-listeria,ACIA,,Listeria,,Aliments,"Classe 1",2021-07-23,0
62946,"  Rappel de Fromage bleu roquefort de marque PC en raison de la présence d'E. coli générique ",https://recalls-rappels.canada.ca/fr/avis-rappel/rappel-fromage-bleu-roquefort-marque-pc-en-raison-presence-e-coli-generique,ACIA,,"Contamination microbienne",,Aliments,"Classe 2",2021-07-23,0
62610,"  BAYLIS V4C-560 VENTILATOR (2021-07-05) ",https://recalls-rappels.canada.ca/fr/avis-rappel/baylis-v4c-560-ventilator-2021-07-05,"Instruments médicaux",,"Matériel médical",,"Matériel médical, instruments médicaux et dispositifs médicaux","Type II",2021-07-22,0
62611,"  Glidescope Go (2021-07-07) ",https://recalls-rappels.canada.ca/fr/avis-rappel/glidescope-go-2021-07-07,"Instruments médicaux",,"Matériel médical",,"Matériel médical, instruments médicaux et dispositifs médicaux","Type II",2021-07-22,0
62612,"  PEDIASAT OXIMETRY CATHETER SET (2021-07-13) ",https://recalls-rappels.canada.ca/fr/avis-rappel/pediasat-oximetry-catheter-set-2021-07-13,"Instruments médicaux",,"Matériel médical",,"Matériel médical, instruments médicaux et dispositifs médicaux","Type II",2021-07-22,0
62613,"  BHR SQUARE HEADED NAIL (2021-07-14) ",https://recalls-rappels.canada.ca/fr/avis-rappel/bhr-square-headed-nail-2021-07-14,"Instruments médicaux",,"Matériel médical",,"Matériel médical, instruments médicaux et dispositifs médicaux","Type II",2021-07-22,0
62748,"  Goodbye Eczema(2021-07-22) ",https://recalls-rappels.canada.ca/fr/avis-rappel/goodbye-eczema2021-07-22,"Médicaments et produits de santé",,"Sécurité des produits",,"Produits de santé naturels","Type III",2021-07-22,0
62569,"  Pile rechargeable Caldwell compatible avec le casque de protection auditive Caldwell E-Max Pro BT rappelée en raison d'un risque de brûlures ",https://recalls-rappels.canada.ca/fr/avis-rappel/pile-rechargeable-caldwell-compatible-avec-casque-protection-auditive-caldwell-e-max,"Sécurité des produits de consommation",,"Risque de brûlure",,"Produits électroniques",,2021-07-21,0
62606,"  GORE MOLDING AND OCCLUSION BALLOON CATHETER (2021-07-09) ",https://recalls-rappels.canada.ca/fr/avis-rappel/gore-molding-and-occlusion-balloon-catheter-2021-07-09,"Instruments médicaux",,"Matériel médical",,"Matériel médical, instruments médicaux et dispositifs médicaux","Type I",2021-07-20,0
62607,"  Lyra SARS-CoV-2 Assay (M120) (2021-04-27) ",https://recalls-rappels.canada.ca/fr/avis-rappel/lyra-sars-cov-2-assay-m120-2021-04-27,"Instruments médicaux",,"Matériel médical",,"Matériel médical, instruments médicaux et dispositifs médicaux","Type I",2021-07-20,0
62614,"  FLUANXOL DEPOT 10%- LIQ IM 100MG/ML(2021-07-20) ",https://recalls-rappels.canada.ca/fr/avis-rappel/fluanxol-depot-10-liq-im-100mgml2021-07-20,"Médicaments et produits de santé",,"Sécurité des produits",,Médicaments,"Type II",2021-07-20,0
62615,"  Sandoz Hydrocortisone 2.5% USP(2021-07-19) ",https://recalls-rappels.canada.ca/fr/avis-rappel/sandoz-hydrocortisone-25-usp2021-07-19,"Médicaments et produits de santé",,"Sécurité des produits",,Médicaments,"Type II",2021-07-19,0
62717,"  Rappel de « Quenelles gyoza porc et legumes » de marque HanSang en raison de la présence non déclarée de lait et de noix de coco ",https://recalls-rappels.canada.ca/fr/avis-rappel/rappel-quenelles-gyoza-porc-et-legumes-marque-hansang-en-raison-presence-non-declaree-0,ACIA,,Lait,,Aliments,"Classe 1",2021-07-19,0
62719,"  Rappel de Raviolis frais aux épinards et à la ricotta sans gluten de marque Farm Boy en raison de la présence non déclarée de gluten ",https://recalls-rappels.canada.ca/fr/avis-rappel/rappel-raviolis-frais-epinards-et-ricotta-sans-gluten-marque-farm-boy-en-raison,ACIA,,,,Aliments,"Classe 3",2021-07-19,0
62605,"  Rappel des écrans solaires en aérosol Beach Defense et Ultra Sheer de Neutrogena en raison de concentrations élevées de benzène ",https://recalls-rappels.canada.ca/fr/avis-rappel/rappel-ecrans-solaires-en-aerosol-beach-defense-et-ultra-sheer-neutrogena-en-raison,"Direction générale des communications et des affaires publiques",,,,Médicaments,,2021-07-17,0
62716,"  Rappel de Burrata Nadi con latte di bufala (fromage) de marque La Bella Contadina en raison de la bactérie Listeria monocytogenes ",https://recalls-rappels.canada.ca/fr/avis-rappel/rappel-burrata-nadi-con-latte-di-bufala-fromage-marque-bella-contadina-en-raison-0,ACIA,,Listeria,,Aliments,"Classe 1",2021-07-17,0
62596,"  COBAS INFINITY CENTRAL LAB (2021-06-30) ",https://recalls-rappels.canada.ca/fr/avis-rappel/cobas-infinity-central-lab-2021-06-30,"Instruments médicaux",,"Matériel médical",,"Matériel médical, instruments médicaux et dispositifs médicaux","Type II",2021-07-16,0
62597,"  FABIUS SYSTEM (2021-07-01) ",https://recalls-rappels.canada.ca/fr/avis-rappel/fabius-system-2021-07-01,"Instruments médicaux",,"Matériel médical",,"Matériel médical, instruments médicaux et dispositifs médicaux","Type II",2021-07-16,0
62598,"  ATTUNE REVISION CEMENTED STEM 16X80MM (2021-07-07) ",https://recalls-rappels.canada.ca/fr/avis-rappel/attune-revision-cemented-stem-16x80mm-2021-07-07,"Instruments médicaux",,"Matériel médical",,"Matériel médical, instruments médicaux et dispositifs médicaux","Type II",2021-07-16,0
62600,"  Peace Naturals Project Inc. rappelle un lot de cannabis séché préroulé Spinach Blue Dream ",https://recalls-rappels.canada.ca/fr/avis-rappel/peace-naturals-project-inc-rappelle-lot-cannabis-seche-preroule-spinach-blue-dream,"Substances contrôlées et du cannabis",,,,Cannabis,,2021-07-16,0
62715,"  Rappel de « Quenelles gyoza porc et legumes » de marque HanSang en raison de la présence non déclarée de lait et de noix de coco ",https://recalls-rappels.canada.ca/fr/avis-rappel/rappel-quenelles-gyoza-porc-et-legumes-marque-hansang-en-raison-presence-non-declaree,ACIA,,Lait,,Aliments,"Classe 1",2021-07-16,0
62718,"  Rappel de Nouilles de lanzhou (coupe) de marque Galanlang en raison de la présence non déclarée de sésame et de soja ",https://recalls-rappels.canada.ca/fr/avis-rappel/rappel-nouilles-lanzhou-coupe-marque-galanlang-en-raison-presence-non-declaree-sesame,ACIA,,"Soja - Graines de sésame",,Aliments,"Classe 2",2021-07-16,0
62573,"  Foyers à bois Arroyo et Hideaway rappelés en raison d'un risque d'incendie ",https://recalls-rappels.canada.ca/fr/avis-rappel/foyers-bois-arroyo-et-hideaway-rappeles-en-raison-risque-incendie,"Sécurité des produits de consommation",,"Risque d’incendie",,"Articles de maison",,2021-07-15,0
62609,"  Pur-Vie(2021-07-15) ",https://recalls-rappels.canada.ca/fr/avis-rappel/pur-vie2021-07-15,"Médicaments et produits de santé",,COVID,,"Produits de santé naturels","Type II",2021-07-15,0
62763,"  Avalon Laboratories - Ethanol Hand Sanitizer 80% (2021-07-15) ",https://recalls-rappels.canada.ca/fr/avis-rappel/avalon-laboratories-ethanol-hand-sanitizer-80-2021-07-15,"Médicaments et produits de santé",,COVID,,"Produits de santé naturels","Type II",2021-07-15,0
62604,"  Rappel du produit Johnson & Johnson Neutrogena écran solaire (2021-07-14) ",https://recalls-rappels.canada.ca/fr/avis-rappel/rappel-du-produit-johnson-johnson-neutrogena-ecran-solaire-2021-07-14,"Médicaments et produits de santé",,"Sécurité des produits",,Médicaments,"Type II",2021-07-14,0
62608,"  MediCare Foaming Hand Sanitizer(2021-07-14) ",https://recalls-rappels.canada.ca/fr/avis-rappel/medicare-foaming-hand-sanitizer2021-07-14,"Médicaments et produits de santé",,COVID,,"Produits de santé naturels","Type II",2021-07-14,0
62713,"  Rappel de Burrata Nadi con latte di bufala (fromage) de marque La Bella Contadina en raison de la bactérie Listeria monocytogenes ",https://recalls-rappels.canada.ca/fr/avis-rappel/rappel-burrata-nadi-con-latte-di-bufala-fromage-marque-bella-contadina-en-raison,ACIA,,Listeria,,Aliments,"Classe 1",2021-07-14,0
62591,"  MICRO-FLO, HAEMO-FLO AND MINI-FLO PRODUCTS (2021-04-01) ",https://recalls-rappels.canada.ca/fr/avis-rappel/micro-flo-haemo-flo-and-mini-flo-products-2021-04-01,"Instruments médicaux",,"Matériel médical",,"Matériel médical, instruments médicaux et dispositifs médicaux","Type I",2021-07-13,0
62595,"  MUST KIT PLUS (2021-04-09) ",https://recalls-rappels.canada.ca/fr/avis-rappel/must-kit-plus-2021-04-09,"Instruments médicaux",,"Matériel médical",,"Matériel médical, instruments médicaux et dispositifs médicaux","Type I",2021-07-13,0
62714,"  Rappel de Tahini au sésame de marque New World en raison de la présence non déclarée d'amandes et de noix de cajou ",https://recalls-rappels.canada.ca/fr/avis-rappel/rappel-tahini-au-sesame-marque-new-world-en-raison-presence-non-declaree-amandes-et,ACIA,,,,Aliments,"Classe 3",2021-07-13,0
62587,"  Les Vases « Ayden » et « Mother » de Everlasting Candle Co. rappelés en raison de l'absence d'étiquettes appropriées et de renseignements sur les dangers ",https://recalls-rappels.canada.ca/fr/avis-rappel/vases-ayden-et-mother-everlasting-candle-co-rappeles-en-raison-absence-etiquettes,"Sécurité des produits de consommation",,,,"Substances chimiques",,2021-07-12,0
62592,"Fontaine à feu d'extérieur Shreveport de Bond rappelée en raison de l'absence d'un emballage protège-enfant, l'absence d'étiquettes appropriées et de renseignements sur les dangers ",https://recalls-rappels.canada.ca/fr/avis-rappel/fontaine-feu-exterieur-shreveport-bond-rappelee-en-raison-absence-emballage-protege,"Sécurité des produits de consommation","Fontaine à feu d'extérieur Shreveport de Bond","Étiquetage et conditionnement (emballage)","Les consommateurs devraient immédiatement cesser d'utiliser le produit et le retourner à « Kent Building Supplies » pour obtenir un remboursement.Pour en savoir davantage, ils peuvent communiquer avec « Kent Building Supplies » par téléphone au 1-877-445-3527 ou par courriel à l'adresse courriel suivante :&nbsp;info@kent.ca.Conformément à la&nbsp;Loi canadienne sur la sécurité des produits de consommation, il est interdit de redistribuer, de vendre ou même de donner les produits rappelés au Canada.Santé Canada incite les Canadiens à signaler tout incident touchant la santé ou la sécurité lié à ce produit ou à tout autre produit de consommation ou cosmétique en remplissant le&nbsp;formulaire de rapport d'incident concernant un produit de consommation.Ce rappel est également affiché sur le&nbsp;site du Portail global de l'OCDE sur les rappels de produits, qui présente d'autres renseignements sur les rappels de produit de consommation internationaux.","Substances chimiques",,2021-07-12,0
62711,"  Rappel de Poudre de cumin de marque UnjhaSpice en raison de la bactérie Salmonella ",https://recalls-rappels.canada.ca/fr/avis-rappel/rappel-poudre-cumin-marque-unjhaspice-en-raison-bacterie-salmonella,ACIA,,Salmonella,,Aliments,"Classe 2",2021-07-11,0
62448,"  Pédales Bontrager Satellite City rappelées en raison d'un risque de chute ",https://recalls-rappels.canada.ca/fr/avis-rappel/pedales-bontrager-satellite-city-rappelees-en-raison-risque-chute,"Sécurité des produits de consommation",,,,"Articles de sport et matériel de culture physique",,2021-07-09,0
62589,"  Porte-vélos pour plateforme de camionnette Btwin rappelé en raison d'un risque de blessures ",https://recalls-rappels.canada.ca/fr/avis-rappel/porte-velos-pour-plateforme-camionnette-btwin-rappele-en-raison-risque-blessures,"Sécurité des produits de consommation",,,,"Articles de sport et matériel de culture physique",,2021-07-09,0
62601,"  NUCALA SAFETY SYRINGE(2021-07-09) ",https://recalls-rappels.canada.ca/fr/avis-rappel/nucala-safety-syringe2021-07-09,"Médicaments et produits de santé",,"Sécurité des produits",,Médicaments,"Type II",2021-07-09,0
62602,"  NUCALA PRE-FILLED AUTOINJECTOR(2021-07-09) ",https://recalls-rappels.canada.ca/fr/avis-rappel/nucala-pre-filled-autoinjector2021-07-09,"Médicaments et produits de santé",,"Sécurité des produits",,Médicaments,"Type II",2021-07-09,0
62712,"  Rappel de Houmous de marque Halvana en raison de la présence non déclarée de sésame ",https://recalls-rappels.canada.ca/fr/avis-rappel/rappel-houmous-marque-halvana-en-raison-presence-non-declaree-sesame,ACIA,,"Graines de sésame",,Aliments,"Classe 2",2021-07-09,0
62584,"  Atlas Growers Ltd. rappelle trois lots de cannabis séché préroulé Zour Apples Full Flower ",https://recalls-rappels.canada.ca/fr/avis-rappel/atlas-growers-ltd-rappelle-trois-lots-cannabis-seche-preroule-zour-apples-full-flower,"Substances contrôlées et du cannabis",,"Problème de qualité soupçonné",,Cannabis,,2021-07-08,0
62577,"Cheminées de table au bioéthanol en métal avec pare-flammes Sophie de Danya B rappellées en raison de l'absence d'étiquettes appropriées et de renseignements sur les dangers ",https://recalls-rappels.canada.ca/fr/avis-rappel/cheminees-table-au-bioethanol-en-metal-avec-pare-flammes-sophie-danya-b-rappellees-en,"Sécurité des produits de consommation","Cheminées de table au bioéthanol en métal avec pare-flammes Sophie de Danya B","Étiquetage et conditionnement (emballage)","Les consommateurs devraient immédiatement cesser d'utiliser les produits rappelés et contacter le détaillant&nbsp;où le produit a été acheté pour un remboursement complet.Pour en savoir davantage, ils peuvent communiquer Danya B par courriel à l'adresse suivante :&nbsp;compliance@danyab.comConformément à la Loi canadienne sur la sécurité des produits de consommation, il est interdit de redistribuer, de vendre ou même de donner les produits rappelés au Canada.Santé Canada incite les Canadiens à signaler tout incident touchant la santé ou la sécurité lié à ce produit ou à tout autre produit de consommation ou cosmétique en remplissant le&nbsp;formulaire de rapport d'incident concernant un produit de consommation.Ce rappel est également affiché sur le&nbsp;site du Portail global de l'OCDE sur les rappels de produits, qui présente d’autres renseignements sur les rappels de produit de consommation internationaux.","Substances chimiques - Produits de plein air",,2021-07-07,0
62578,"  Coussin de siège chauffant AutoTrends rappelé en raison d'un risque de brûlure ",https://recalls-rappels.canada.ca/fr/avis-rappel/coussin-siege-chauffant-autotrends-rappele-en-raison-risque-brulure,"Sécurité des produits de consommation",,"Risque de brûlure",,"Outils et accessoires",,2021-07-07,0
62579,"  ALLIANCE FACE SHIELD (2021-06-18) ",https://recalls-rappels.canada.ca/fr/avis-rappel/alliance-face-shield-2021-06-18,"Instruments médicaux",,"Matériel médical",,"Matériel médical, instruments médicaux et dispositifs médicaux","Type II",2021-07-07,0
62580,"  NobelProcera Full Contour Zirconia (FCZ) Implant Crown (2021-04-09) ",https://recalls-rappels.canada.ca/fr/avis-rappel/nobelprocera-full-contour-zirconia-fcz-implant-crown-2021-04-09,"Instruments médicaux",,"Matériel médical",,"Matériel médical, instruments médicaux et dispositifs médicaux","Type II",2021-07-07,0
62581,"  Butterfly iQ+ Ultrasound System (2020-11-19) ",https://recalls-rappels.canada.ca/fr/avis-rappel/butterfly-iq-ultrasound-system-2020-11-19,"Instruments médicaux",,"Matériel médical",,"Matériel médical, instruments médicaux et dispositifs médicaux","Type II",2021-07-07,0
62582,"  Miroirs à cadre profond de Rejuvenation rappelés en raison de risque de lacération ",https://recalls-rappels.canada.ca/fr/avis-rappel/miroirs-cadre-profond-rejuvenation-rappeles-en-raison-risque-laceration,"Sécurité des produits de consommation",,,,"Articles de maison",,2021-07-07,0
62583,"  Charbon de bois de feuillus en blocs Premium Lumber Jack rappelé en raison d'un risque de suffocation ",https://recalls-rappels.canada.ca/fr/avis-rappel/charbon-bois-feuillus-en-blocs-premium-lumber-jack-rappele-en-raison-risque-suffocation,"Sécurité des produits de consommation","Charbon de bois de feuillus en blocs Premium Lumber Jack.","Étiquetage et conditionnement (emballage)","Les consommateurs doivent cesser immédiatement d'utiliser le produit et communiquer avec Lumber Jack Distributor Canada Inc. pour obtenir une étiquette bilingue d'avertissement.Pour obtenir de plus amples renseignements, les consommateurs peuvent communiquer avec l'entreprise par téléphone au 1-306-700-4144, de 9 h à 17 h (HNC) ou par courriel à&nbsp;info@lumberjackpellets.ca.Conformément à la&nbsp;Loi canadienne sur la sécurité des produits de consommation, il est interdit de redistribuer, de vendre ou même de donner les produits rappelés au Canada.Santé Canada incite les Canadiens à signaler tout incident touchant la santé ou la sécurité lié à ce produit ou à tout autre produit de consommation ou cosmétique en remplissant le&nbsp;formulaire de rapport d'incident concernant un produit de consommation.Ce rappel est également affiché sur le site du&nbsp;Portail global de l'OCDE sur les rappels de produits, qui présente d'autres renseignements sur les rappels de produit de consommation internationaux.","Produits de plein air",,2021-07-07,0
62586,"  Les médicaments non autorisés saisis dans le commerce Tokyo Beauty de Burnaby, en Colombie-Britannique, pourraient présenter des risques graves pour la santé ",https://recalls-rappels.canada.ca/fr/avis-rappel/medicaments-non-autorises-saisis-dans-commerce-tokyo-beauty-burnaby-en-colombie,"Direction générale des communications et des affaires publiques",,,,Médicaments,,2021-07-07,0
62588,"  PHICON INFRARED THERMOMETER (2021-06-29) ",https://recalls-rappels.canada.ca/fr/avis-rappel/phicon-infrared-thermometer-2021-06-29,"Instruments médicaux",,"Matériel médical",,"Matériel médical, instruments médicaux et dispositifs médicaux","Type II",2021-07-07,0
62585,"  Rappel de la vitamine D sous forme liquide Martin Clinic en raison d'une posologie incorrecte et de l'absence de certaines données d'innocuité sur l'étiquette ",https://recalls-rappels.canada.ca/fr/avis-rappel/rappel-vitamine-sous-forme-liquide-martin-clinic-en-raison-posologie-incorrecte-et,"Sécurité des produits de consommation",,"Sécurité des produits",,"Produits de santé naturels",,2021-07-06,0
62708,"  Rappel de boules de poisson de style ChaoZhou de marque Aberdeen et Black Tie en raison de la présence non déclarée de soya ",https://recalls-rappels.canada.ca/fr/avis-rappel/rappel-boules-poisson-style-chaozhou-marque-aberdeen-et-black-tie-en-raison-presence-0,ACIA,,Soja,,Aliments,"Classe 1",2021-07-06,0
62710,"  Rappel de Gâteaux et Petits gâteaux à base de plantes de marque Dufflet en raison de la présence non déclarée d'œufs ",https://recalls-rappels.canada.ca/fr/avis-rappel/rappel-gateaux-et-petits-gateaux-base-plantes-marque-dufflet-en-raison-presence-non,ACIA,,Œufs,,Aliments,"Classe 1",2021-07-06,0
62593,"  Gely; Absolute Sanitizer (2021-07-05) ",https://recalls-rappels.canada.ca/fr/avis-rappel/gely-absolute-sanitizer-2021-07-05,"Médicaments et produits de santé",,COVID,,"Produits de santé naturels","Type II",2021-07-05,0
62594,"  Securol Hand Sanitizer(2021-07-05) ",https://recalls-rappels.canada.ca/fr/avis-rappel/securol-hand-sanitizer2021-07-05,"Médicaments et produits de santé",,COVID,,"Produits de santé naturels","Type II",2021-07-05,0
62599,"  NIAGARA 75% ALCOHOL ANTIBACTERIAL WIPES(2021-07-05) ",https://recalls-rappels.canada.ca/fr/avis-rappel/niagara-75-alcohol-antibacterial-wipes2021-07-05,"Médicaments et produits de santé",,"Sécurité des produits - COVID",,"Produits de santé naturels","Type II",2021-07-05,0
62707,"  Rappel de halva / halawa – aux pistaches de marque Al-Rabih en raison de la bactérie Salmonella ",https://recalls-rappels.canada.ca/fr/avis-rappel/rappel-halva-halawa-pistaches-marque-al-rabih-en-raison-bacterie-salmonella,ACIA,,Salmonella,,Aliments,"Classe 2",2021-07-05,0
62709,"  Rappel de « Miel naturel pur » de marque El Rashidi El Mizan en raison de la présence de Enrofloxacin, Ciprofloxacin, Sulfadiazine, Sulfamethoxazole et Sulfamethazine ",https://recalls-rappels.canada.ca/fr/avis-rappel/rappel-miel-naturel-pur-marque-el-rashidi-el-mizan-en-raison-presence-enrofloxacin,ACIA,,,,Aliments,"Classe 2",2021-07-05,0
62576,"  Diverses cheminées de table au bioéthanol de « Anywhere Fireplace » rappellées en raison de l'absence d'étiquettes appropriées et de renseignements sur les dangers ",https://recalls-rappels.canada.ca/fr/avis-rappel/diverses-cheminees-table-au-bioethanol-anywhere-fireplace-rappellees-en-raison-absence,"Sécurité des produits de consommation","Diverses cheminées de table au bioéthanol de « Anywhere Fireplace »","Étiquetage et conditionnement (emballage)","Les consommateurs devraient immédiatement cesser d'utiliser les produits rappelés et contactez « Anywhere Fireplace » pour obtenir de plus amples renseignements.Pour en savoir davantage, ils peuvent communiquer avec « Anywhere Fireplace » par courriel à l'adresse suivante :&nbsp;recallinfo@anywherefireplace.com&nbsp;pour connaître les prochaines étapes.Conformément à la&nbsp;Loi canadienne sur la sécurité des produits de consommation, il est interdit de redistribuer, de vendre ou même de donner les produits rappelés au Canada.Santé Canada incite les Canadiens à signaler tout incident touchant la santé ou la sécurité lié à ce produit ou à tout autre produit de consommation ou cosmétique en remplissant le&nbsp;formulaire de rapport d'incident concernant un produit de consommation.Ce rappel est également affiché sur le&nbsp;site du Portail global de l'OCDE sur les rappels de produits, qui présente d'autres renseignements sur les rappels de produit de consommation internationaux.","Articles de maison",,2021-07-02,0
62704,"  Rappel de boules de poisson de style ChaoZhou de marque Aberdeen et Black Tie en raison de la présence non déclarée de soya ",https://recalls-rappels.canada.ca/fr/avis-rappel/rappel-boules-poisson-style-chaozhou-marque-aberdeen-et-black-tie-en-raison-presence,ACIA,,Soja,,Aliments,"Classe 1",2021-07-02,0
62705,"  Rappel de « À base de plantes gâteau au chocolate » de marque Dufflet en raison de la présence non déclarée d'œufs ",https://recalls-rappels.canada.ca/fr/avis-rappel/rappel-base-plantes-gateau-au-chocolate-marque-dufflet-en-raison-presence-non-declaree,ACIA,,Œufs,,Aliments,"Classe 1",2021-07-02,0
62706,"  Rappel de « Makrel Filet I Tomatsauce » de marque Gestus en raison de préoccupations liées à la stérilité commerciale ",https://recalls-rappels.canada.ca/fr/avis-rappel/rappel-makrel-filet-tomatsauce-marque-gestus-en-raison-preoccupations-liees-sterilite,ACIA,,,,Aliments,"Classe 2",2021-07-02,0
62726,"  Modifié: Rappel du produit Kaopectate Suspension d'Enfants(2021-07-02) ",https://recalls-rappels.canada.ca/fr/avis-rappel/modifie-rappel-du-produit-kaopectate-suspension-enfants2021-07-02,"Médicaments et produits de santé",,"Sécurité des produits",,"Produits de santé naturels","Type II",2021-07-02,0
62555,"  Reconstitution Device & PD Empty Bag System (2021-06-26) ",https://recalls-rappels.canada.ca/fr/avis-rappel/reconstitution-device-pd-empty-bag-system-2021-06-26,"Instruments médicaux",,"Matériel médical",,"Matériel médical, instruments médicaux et dispositifs médicaux","Type II",2021-06-30,0
62556,"  QUANTA SYSTEM SURGICAL SINGLE-USE LASER FIBERS (2021-04-20) ",https://recalls-rappels.canada.ca/fr/avis-rappel/quanta-system-surgical-single-use-laser-fibers-2021-04-20,"Instruments médicaux",,"Matériel médical",,"Matériel médical, instruments médicaux et dispositifs médicaux","Type II",2021-06-30,0
62557,"  Accolade Family Pacemakers (2021-06-03) ",https://recalls-rappels.canada.ca/fr/avis-rappel/accolade-family-pacemakers-2021-06-03,"Instruments médicaux",,"Matériel médical",,"Matériel médical, instruments médicaux et dispositifs médicaux","Type II",2021-06-30,0
62558,"  Ingenio Family DREL Pacemakers and CRT- Ps (2021-06-03) ",https://recalls-rappels.canada.ca/fr/avis-rappel/ingenio-family-drel-pacemakers-and-crt-ps-2021-06-03,"Instruments médicaux",,"Matériel médical",,"Matériel médical, instruments médicaux et dispositifs médicaux","Type II",2021-06-30,0
62559,"  NAVIGUS STIMLOC (2021-06-04) ",https://recalls-rappels.canada.ca/fr/avis-rappel/navigus-stimloc-2021-06-04,"Instruments médicaux",,"Matériel médical",,"Matériel médical, instruments médicaux et dispositifs médicaux","Type II",2021-06-30,0
62560,"  ENVEO PRO DELIVERY CATHETER SYSTEM (2021-06-09) ",https://recalls-rappels.canada.ca/fr/avis-rappel/enveo-pro-delivery-catheter-system-2021-06-09,"Instruments médicaux",,"Matériel médical",,"Matériel médical, instruments médicaux et dispositifs médicaux","Type II",2021-06-30,0
62561,"  BioComposite SwiveLock (2021-06-08) ",https://recalls-rappels.canada.ca/fr/avis-rappel/biocomposite-swivelock-2021-06-08,"Instruments médicaux",,"Matériel médical",,"Matériel médical, instruments médicaux et dispositifs médicaux","Type II",2021-06-30,0
62562,"  da Vinci S/Si Surgical System (2021-06-09) ",https://recalls-rappels.canada.ca/fr/avis-rappel/da-vinci-ssi-surgical-system-2021-06-09,"Instruments médicaux",,"Matériel médical",,"Matériel médical, instruments médicaux et dispositifs médicaux","Type II",2021-06-30,0
62563,"  Signa Explorer/Voyager/Artist (2021-06-16) ",https://recalls-rappels.canada.ca/fr/avis-rappel/signa-explorervoyagerartist-2021-06-16,"Instruments médicaux",,"Matériel médical",,"Matériel médical, instruments médicaux et dispositifs médicaux","Type II",2021-06-30,0
62564,"  Diverses tondeuses électriques Certified 2 en 1 rappelées en raison d'un risque d'incendie ",https://recalls-rappels.canada.ca/fr/avis-rappel/diverses-tondeuses-electriques-certified-2-en-1-rappelees-en-raison-risque-incendie,"Sécurité des produits de consommation",,"Risque d’incendie",,"Outils et accessoires",,2021-06-30,0
62565,"  DISCOVERY MR750 MR SYSTEM, DISCOVERY MR750W 3.0T MAGNETIC RESONANCE IMAGING SYSTEM, SIGNA HDXT 1.5T MR SYSTEM, DISCOVERY MR450 1.5T MR SYSTEM (2021-06-16) ",https://recalls-rappels.canada.ca/fr/avis-rappel/discovery-mr750-mr-system-discovery-mr750w-30t-magnetic-resonance-imaging-system-signa,"Instruments médicaux",,"Matériel médical",,"Matériel médical, instruments médicaux et dispositifs médicaux","Type II",2021-06-30,0
62566,"  Philips V60/V60 Plus Ventilators (2021-06-21) ",https://recalls-rappels.canada.ca/fr/avis-rappel/philips-v60v60-plus-ventilators-2021-06-21,"Instruments médicaux",,"Matériel médical",,"Matériel médical, instruments médicaux et dispositifs médicaux","Type II",2021-06-30,0
62567,"  GE OEC ELITE (2021-06-21) ",https://recalls-rappels.canada.ca/fr/avis-rappel/ge-oec-elite-2021-06-21,"Instruments médicaux",,"Matériel médical",,"Matériel médical, instruments médicaux et dispositifs médicaux","Type II",2021-06-30,0
62568,"  Soltive Premium Superpulsed Laser System (2021-06-22) ",https://recalls-rappels.canada.ca/fr/avis-rappel/soltive-premium-superpulsed-laser-system-2021-06-22,"Instruments médicaux",,"Matériel médical",,"Matériel médical, instruments médicaux et dispositifs médicaux","Type II",2021-06-30,0
62571,"  Sandales de marche pour garçons et petits garçons Joe FreshMD rappelées en raison d'un risque d'étouffement et de trébuchement ",https://recalls-rappels.canada.ca/fr/avis-rappel/sandales-marche-pour-garcons-et-petits-garcons-joe-freshmd-rappelees-en-raison-risque,"Sécurité des produits de consommation",,,,"Vêtements et accessoires",,2021-06-30,0
62574,"  Santé Canada met à jour les étiquettes des vaccins contre la COVID 19 de Pfizer BioNTech et de Moderna pour y inclure des renseignements sur la myocardite et la péricardite ",https://recalls-rappels.canada.ca/fr/avis-rappel/sante-canada-met-jour-etiquettes-vaccins-contre-covid-19-pfizer-biontech-et-moderna,"Direction générale des communications et des affaires publiques",,"COVID - Sécurité des produits",,"Vaccins et produits biologiques",,2021-06-30,0
